Date,US - SPX,US Cyclicals/Defensives,US Growth/Value,US Small/Large,US Equity/Bond,US High beta/Low volatility
2016-01-31,100.0,100.0,100.0,100.0,100.0,100.0
2016-02-07,96.897809461242,98.36731780308887,97.91834210526315,98.42401713641733,95.95076656925941,98.23553444665747
2016-02-14,96.11079241138697,97.00799064554178,98.12203398831653,97.8088752928986,93.26267180207277,95.19711846389612
2016-02-21,98.84241325554851,98.06829603186986,98.799032967033,98.8365452792021,96.3086969727077,96.54078026840341
2016-02-28,100.40253054431719,99.1029209890182,99.45644387755101,99.95765480474978,98.3047453898167,99.6300165881958
2016-03-06,103.07951595167269,101.5371447407567,98.82502660561812,101.60041659224375,102.41743800811973,107.86488358957867
2016-03-13,104.22370178866254,101.06504676605996,98.4603004029796,101.05171867798153,104.61678799758005,107.22722090906362
2016-03-20,105.6353898714054,103.29918819823372,98.75238508867173,101.004718079805,104.06360908893224,108.39731379674164
2016-03-27,104.93237700766672,101.74644725297142,99.56479059515063,99.6328343742738,103.038836235601,105.30656857813547
2016-04-03,106.83111572432283,101.47321077967779,100.68996133397776,101.19934382844731,104.050816786972,103.64942779600375
2016-04-10,105.53333535500387,99.18334429296824,101.07364760622015,100.51331052767351,101.79745772322843,104.09620880492609
2016-04-17,107.2408563343447,101.84273133997817,100.31296829971181,101.93658573922595,103.53256012295233,108.84844916679029
2016-04-24,107.8000705403636,103.13606410037215,98.96936684847047,102.9443486638056,106.98093372556895,115.04292567801329
2016-05-01,106.44559741182549,103.38695416243165,98.03395982783357,102.81437683578885,104.79705179991154,113.12896135480479
2016-05-08,106.02502282872899,102.75473815830867,98.8843105110897,101.64418273647047,103.6297813907882,106.36061461417992
2016-05-15,105.48231124255605,101.56536510162775,99.09848055252635,101.02914926278541,101.71923479130459,104.18256431235619
2016-05-22,105.77660901172649,102.66498305905232,98.92008199686482,101.77162253702596,103.75252372388621,108.40553669284112
2016-05-29,108.18558885286093,103.02905056776308,99.30143160878809,102.92842317389147,106.3960595099421,110.8093702007538
2016-06-05,108.18918759420744,101.01851961310527,99.42210414452711,104.21426211884032,103.71655672553047,109.83582729318525
2016-06-12,108.03148470855794,100.0314876987501,98.67817153628651,104.39880238390111,102.42140596057364,107.01137896213564
2016-06-19,106.75071027955299,100.00804502474479,98.56056903765688,103.80688078779778,100.07429751461625,106.08609252457666
2016-06-26,105.00814561262469,98.45567210084371,98.29685974499091,103.87816898350381,98.3083515779486,103.58413152968696
2016-07-03,108.38607397829405,97.37207327121256,98.29651376146788,103.18834877456642,98.13297785059399,101.82639783922724
2016-07-10,109.77507489093989,97.16443215921913,99.11720344907948,103.61883427215794,97.31126023152132,100.72883058917381
2016-07-17,111.41611352795813,98.92044796173745,98.35998627316403,104.64835249042233,102.48475121593614,105.59149164549197
2016-07-24,112.10108235291749,99.05029586154075,98.60492034592627,104.69122791492775,102.84956940376726,106.02509041346417
2016-07-31,112.02738365338433,99.27100196616986,99.80889448386361,105.33447607078199,100.78860312032761,107.33364333165234
2016-08-07,112.5051606076739,100.19180162046683,99.77106935428768,105.81056929277719,103.89340996296536,109.26008796041782
2016-08-14,112.56597430322518,100.2191770461236,99.87584167424929,105.54117494107285,102.48208346033908,109.36609702242728
2016-08-21,112.55670062360149,101.14011000828766,99.56219346049046,106.30745756556237,103.5321700056029,112.86253755829598
2016-08-28,111.79235816083177,102.81356692486447,99.47846575342466,107.11105339141145,103.20038948911132,113.90844624305028
2016-09-04,112.35620291515664,103.75822628487141,98.9815510019246,107.69628049763482,103.51133282462173,113.00324076124669
2016-09-11,109.66736431077875,103.51155790707081,98.43915365938258,107.48021887108466,103.4186558498774,116.06587922663284
2016-09-18,110.25233594174972,101.76910978990563,100.35859992999652,107.32997733217489,104.05350962836641,114.46696546541087
2016-09-25,111.56815405834215,101.89823889150689,100.55691456243511,108.60976380287524,103.73760284665372,113.08800994271355
2016-10-02,111.75267134192661,103.10403600016468,100.20914482758623,108.1970907642436,103.36520901459217,116.67633382363651
2016-10-09,111.00379340053752,103.98987296782197,99.87152060962937,107.65547324830005,105.51785654524136,120.23269152112874
2016-10-16,109.93382216656057,104.7991160751066,99.74401118750728,106.52605866126537,106.42740436256271,117.1485971306326
2016-10-23,110.35541597360488,105.74683807523004,100.3068326739586,106.63924880535032,105.47817441574581,119.64880710512568
2016-10-30,109.59520073867313,105.95056308060636,98.84492264743515,104.6320172046514,107.06530107329439,119.03646842676802
2016-11-06,107.47020688862008,106.2152830820642,98.16667690490254,104.5555237177703,104.02666721315784,117.93829400517978
2016-11-13,111.55578495784,110.62919115638901,95.56027868299809,111.09830955913284,116.53257511574797,125.63236383809935
2016-11-20,112.45515571917386,112.8989763180675,95.30074897210802,113.09608312134965,118.81107800000612,129.06144815331402
2016-11-27,114.07609928650548,114.07607450331798,94.98393173613388,114.2037049222049,120.48313546699157,129.57966747686373
2016-12-04,112.97313539584835,115.29151317679494,93.10850574712644,112.56015780603946,120.70117281777345,132.7684945296381
2016-12-11,116.45621369879768,118.24149373412803,93.12019110308951,115.35344455956967,126.67813568410851,135.58177043866294
2016-12-18,116.3809672888253,115.1823178742536,92.9784331210191,113.33920511049922,126.2428089691702,131.48465582314878
2016-12-25,116.67577466996963,115.72964234489737,93.05388433272978,113.62526188602284,125.64261278571753,131.48596043561525
2017-01-01,115.38933788569918,115.51496160874082,93.0578131383722,113.67239546133791,123.30106452814576,129.58211959380185
2017-01-08,117.35558446013155,115.46440146250183,94.53587984661272,112.5681947300974,123.53698604559358,132.24115180842122
2017-01-15,117.23497629297681,115.79330655323528,95.13493532870123,113.0872651840848,122.99205368695641,132.87999256056167
