Date,US - SPX,SPX,SPX resampleW ma50,SPX resampleW ma100,SPX resampleW ma200
2016-02-14,1864.780029296875,1864.780029296875,1966.8458056640625,2000.3409997558597,2034.2627551269527
2016-02-21,1917.780029296875,1917.780029296875,1954.0482006835937,1999.4702990722656,2030.5640545654296
2016-02-28,1948.050048828125,1948.050048828125,1944.0196020507813,2000.8228002929689,2026.602153930664
2016-03-06,1999.989990234375,1999.989990234375,1938.1265966796875,1999.815798339844,2023.057553100586
2016-03-13,2022.18994140625,2022.18994140625,1931.7851928710936,1998.912598876953,2019.9157019042968
2016-03-20,2049.580078125,2049.580078125,1932.3057934570315,1998.3319006347656,2017.862601928711
2016-03-27,2035.93994140625,2035.93994140625,1941.237392578125,1996.9041027832031,2016.9923516845704
2016-04-03,2072.780029296875,2072.780029296875,1958.3457958984372,1994.8350012207031,2015.990551147461
2016-04-10,2047.5999755859373,2047.5999755859373,1974.9041943359373,1993.705,2014.4343005371093
2016-04-17,2080.72998046875,2080.72998046875,1990.12619140625,1994.2864990234373,2014.0168493652343
2016-04-24,2091.580078125,2091.580078125,2012.6779956054688,1994.6536987304687,2014.6649493408204
2016-05-01,2065.300048828125,2065.300048828125,2032.3111987304687,1994.7726000976563,2014.5242987060549
2016-05-08,2057.139892578125,2057.139892578125,2045.0639965820312,1995.280698242188,2012.9798992919923
2016-05-15,2046.6099853515625,2046.6099853515625,2054.6595947265623,1996.6046960449216,2012.314899902344
2016-05-22,2052.320068359375,2052.320068359375,2060.539995117188,1996.7242956542968,2011.0658489990235
2016-05-29,2099.06005859375,2099.06005859375,2066.104602050781,1998.6119970703128,2010.907699584961
2016-06-05,2099.1298828125,2099.1298828125,2070.364196777344,2004.8281958007813,2011.0396002197265
2016-06-12,2096.070068359375,2096.070068359375,2076.3745971679687,2015.2256958007813,2014.5653997802733
2016-06-19,2071.219970703125,2071.219970703125,2078.023400878906,2024.817297363281,2017.4254998779295
2016-06-26,2037.4100341796875,2037.4100341796875,2079.8598022460938,2033.310997314453,2020.803849487305
2016-07-03,2102.949951171875,2102.949951171875,2076.64900390625,2042.266298828125,2023.151049194336
2016-07-10,2129.89990234375,2129.89990234375,2077.646201171875,2052.0140979003904,2025.9417486572263
2016-07-17,2161.739990234375,2161.739990234375,2086.249990234375,2063.394295654297,2031.93684753418
2016-07-24,2175.030029296875,2175.030029296875,2096.8215966796874,2074.43189453125,2037.345396728516
2016-07-31,2173.60009765625,2173.60009765625,2108.3352001953126,2083.302296142578,2041.3583978271483
2016-08-07,2182.8701171875,2182.8701171875,2118.97080078125,2091.32419921875,2044.9740991210936
2016-08-14,2184.050048828125,2184.050048828125,2127.31599609375,2098.2158972167967,2048.0955505371094
2016-08-21,2183.8701171875,2183.8701171875,2134.638798828125,2105.143397216797,2050.3377990722656
2016-08-28,2169.0400390625,2169.0400390625,2144.3697900390625,2110.90349609375,2052.4615478515625
2016-09-04,2179.97998046875,2179.97998046875,2153.09279296875,2116.9299975585936,2055.6147985839843
2016-09-11,2127.81005859375,2127.81005859375,2163.831591796875,2120.16099609375,2057.3206481933594
2016-09-18,2139.159912109375,2139.159912109375,2168.036791992188,2122.4939965820317,2058.5560986328123
2016-09-25,2164.68994140625,2164.68994140625,2169.0066015625,2126.5220971679687,2060.668048095703
2016-10-02,2168.27001953125,2168.27001953125,2168.33060546875,2131.470400390625,2063.7641986083986
2016-10-09,2153.739990234375,2153.739990234375,2167.0626025390625,2136.439200439453,2066.790697631836
2016-10-16,2132.97998046875,2132.97998046875,2164.57439453125,2140.849296875,2068.698695678711
2016-10-23,2141.159912109375,2141.159912109375,2160.296596679688,2143.0183959960937,2072.1298468017576
2016-10-30,2126.409912109375,2126.409912109375,2155.732197265625,2144.5015966796877,2077.6141955566404
2016-11-06,2085.179931640625,2085.179931640625,2147.8987939453127,2145.2237915039063,2083.1780444335936
2016-11-13,2164.449951171875,2164.449951171875,2145.8771923828126,2148.818393554688,2089.523095092773
2016-11-20,2181.89990234375,2181.89990234375,2146.453588867188,2155.1425903320314,2096.223643798828
2016-11-27,2213.35009765625,2213.35009765625,2151.6555859375,2159.433588867188,2103.386644287109
2016-12-04,2191.949951171875,2191.949951171875,2156.25318359375,2162.6204931640623,2110.713794555664
2016-12-11,2259.530029296875,2259.530029296875,2163.668984375,2165.9687939453124,2118.0522442626952
2016-12-18,2258.070068359375,2258.070068359375,2173.700986328125,2170.544995117188,2125.110444946289
2016-12-25,2263.7900390625,2263.7900390625,2185.6481884765626,2175.4239916992187,2131.816345214844
2017-01-01,2238.830078125,2238.830078125,2194.918583984375,2178.395390625,2136.3338946533204
2017-01-08,2276.97998046875,2276.97998046875,2204.8699853515627,2181.78619140625,2140.7682440185545
2017-01-15,2274.639892578125,2274.639892578125,2219.298984375,2186.229189453125,2146.3007928466795
2017-01-22,2271.31005859375,2271.31005859375,2232.728583984375,2189.9384887695314,2150.420992431641
2017-01-29,2294.68994140625,2294.68994140625,2245.44978515625,2195.5056884765627,2156.217843017578
2017-02-05,2297.419921875,2297.419921875,2255.3109912109376,2201.273688964844,2161.0005432128905
2017-02-12,2316.10009765625,2316.10009765625,2264.848798828125,2209.533190917969,2166.2334448242186
2017-02-19,2351.159912109375,2351.159912109375,2279.142397460937,2218.759289550781,2173.115593261719
2017-02-26,2367.340087890625,2367.340087890625,2288.248798828125,2226.845791015625,2179.158095703125
2017-03-05,2383.1201171875,2383.1201171875,2299.983994140625,2237.930390625,2187.1847955322264
2017-03-12,2372.60009765625,2372.60009765625,2310.2756005859374,2249.320893554688,2195.085095214844
2017-03-19,2378.25,2378.25,2322.6199951171875,2261.230090332031,2202.1242431640626
2017-03-26,2343.97998046875,2343.97998046875,2330.555595703125,2271.855190429688,2208.178393554688
2017-04-02,2362.719970703125,2362.719970703125,2339.426005859375,2284.67939453125,2214.951593017578
2017-04-09,2355.5400390625,2355.5400390625,2346.893002929688,2294.866494140625,2221.8424438476563
2017-04-16,2328.949951171875,2328.949951171875,2351.90919921875,2301.628193359375,2227.8297424316406
2017-04-23,2348.68994140625,2348.68994140625,2357.415595703125,2308.9562939453126,2234.19494140625
2017-04-30,2384.199951171875,2384.199951171875,2363.0981884765624,2318.3058935546874,2240.463193359375
2017-05-07,2399.2900390625,2399.2900390625,2366.419189453125,2326.230192871093,2246.099493408203
2017-05-14,2390.89990234375,2390.89990234375,2368.4723828125,2333.022287597656,2251.783641357422
2017-05-21,2381.72998046875,2381.72998046875,2369.52837890625,2338.864787597656,2257.144389648437
2017-05-28,2415.820068359375,2415.820068359375,2372.519580078125,2346.4947875976563,2262.8567895507813
2017-06-04,2439.070068359375,2439.070068359375,2377.5125830078123,2352.5768896484374,2267.635290527344
2017-06-11,2431.77001953125,2431.77001953125,2385.7705859375,2360.6462939453127,2273.8426916503904
2017-06-18,2433.14990234375,2433.14990234375,2393.1813818359374,2368.857392578125,2280.3417907714843
2017-06-25,2438.300048828125,2438.300048828125,2401.78138671875,2376.3512939453126,2286.864141845703
