Date,US - SPX,SPX,SPX resampleM ma50,SPX resampleM ma100,SPX resampleM ma200
1986-02-28,226.9199981689453,226.9199981689453,212.67819885253903,204.1309994506836,196.21149963378903
1986-03-31,238.8999938964844,238.8999938964844,221.97999908447267,213.1328996276856,200.59074981689452
1986-04-30,235.5200042724609,235.5200042724609,233.48580017089844,221.7301997375488,205.84715003967284
1986-05-31,247.3500061035156,247.3500061035156,237.96060028076167,227.9275997924805,210.8089000701904
1986-06-30,250.83999633789065,250.83999633789065,241.82360015869145,235.68910003662108,216.88805000305172
1986-07-31,236.1199951171875,236.1199951171875,242.77599975585937,239.73220001220704,223.1691998291016
1986-08-31,252.92999267578125,252.92999267578125,243.33919891357425,241.952099609375,228.86239974975587
1986-09-30,231.32000732421875,231.32000732421875,240.93919891357424,241.7334994506836,232.6494496154785
1986-10-31,243.97999572753903,243.97999572753903,239.4549996948242,240.9654995727539,235.8826496887207
1986-11-30,249.22000122070312,249.22000122070312,239.60660064697265,240.63589981079105,239.11964988708496
1986-12-31,242.1699981689453,242.1699981689453,245.6484002685547,243.1524998474121,241.51369995117187
1987-01-31,274.0799865722656,274.0799865722656,254.864599609375,246.44939987182616,244.5309497833252
1987-02-28,284.20001220703125,284.20001220703125,267.11040100097654,255.41740081787108,248.5086001586914
1987-03-31,291.70001220703125,291.70001220703125,284.4018017578125,267.1435011291504,254.08065032958984
1987-04-30,288.3599853515625,288.3599853515625,289.9520013427734,276.1082009887695,258.7175504302979
1987-05-31,290.1000061035156,290.1000061035156,290.62920043945314,284.33500076293944,263.8524003601074
1987-06-30,304.0,304.0,293.9725988769531,291.47400054931643,269.80365036010744
1987-07-31,318.6600036621094,318.6600036621094,303.4679998779297,297.2873001098633,278.1702502441406
1987-08-31,329.79998779296875,329.79998779296875,317.827998046875,304.44639862060546,287.3340000152588
1987-09-30,321.8299865722656,321.8299865722656,322.1857977294922,310.86799896240234,294.7938497161865
1987-10-31,251.7899932861328,251.7899932861328,303.6855993652344,308.7260992431641,297.85939987182616
1987-11-30,230.3000030517578,230.3000030517578,272.4322009277344,296.5739993286133,294.87684982299805
1987-12-31,247.0800018310547,247.0800018310547,242.93500061035155,280.4786994934082,289.7851998138428
1988-01-31,257.07000732421875,257.07000732421875,244.84560180664064,264.7067008972168,285.3814498138428
1988-02-29,267.82000732421875,267.82000732421875,253.08020080566405,252.34200103759767,282.2530499267578
1988-03-31,258.8900146484375,258.8900146484375,260.51280029296873,252.24830078125,279.2239999389648
1988-04-30,261.3299865722656,261.3299865722656,264.25659912109376,256.94050048828126,274.724949798584
1988-05-31,262.1600036621094,262.1600036621094,259.8870007324219,258.80430038452147,268.1423501586914
1988-06-30,273.5,273.5,263.2872009277344,263.4536000061035,262.11205062866213
1988-07-31,272.0199890136719,272.0199890136719,267.39819976806643,264.7169000244141,257.20085037231445
1988-08-31,261.5199890136719,261.5199890136719,267.1361981201172,264.46789916992185,258.9623500061035
1988-09-30,271.9100036621094,271.9100036621094,265.7397985839844,265.9237994384766,262.12985000610354
1988-10-31,278.9700012207031,278.9700012207031,270.66200073242186,269.819899597168,265.0144999694824
1988-11-30,273.70001220703125,273.70001220703125,273.5328015136718,269.5893002319336,266.97625
1988-12-31,277.7200012207031,277.7200012207031,274.9135998535156,271.1990997314453,268.0909498596191
1989-01-31,297.4700012207031,297.4700012207031,278.99760070800784,276.24520080566407,270.3490002441406
1989-02-28,288.8599853515625,288.8599853515625,287.1144006347656,280.8967007446289,273.6598500061035
1989-03-31,294.8699951171875,294.8699951171875,292.7908001708984,284.0428002929688,277.0422999572754
1989-04-30,309.6400146484375,309.6400146484375,296.38059875488284,290.5218994140625,280.114599609375
1989-05-31,320.5199890136719,320.5199890136719,305.68359802246096,298.5564996337891,285.22544982910154
1989-06-30,317.9800109863281,317.9800109863281,317.5933996582031,306.1281991577148,291.92865005493167
1989-07-31,346.0799865722656,346.0799865722656,326.4310009765625,314.00709991455074,297.92775009155275
1989-08-31,351.45001220703125,351.45001220703125,337.58680114746096,326.0800997924805,305.94100006103514
1989-09-30,349.1499938964844,349.1499938964844,345.80580017089846,334.3360009765625,313.5014001464844
1989-10-31,340.3599853515625,340.3599853515625,347.62580017089846,340.47700073242186,320.99699996948243
1989-11-30,345.989990234375,345.989990234375,344.22999877929686,344.0225997924805,325.95969970703123
1989-12-31,353.3999938964844,353.3999938964844,343.7955987548828,346.0183996582031,331.5233996582031
1990-01-31,329.0799865722656,329.0799865722656,343.93219970703126,344.3210995483398,336.44134994506834
1990-02-28,331.8900146484375,331.8900146484375,337.57720153808594,340.9727001953125,338.53805053710937
1990-03-31,339.94000244140625,339.94000244140625,333.70740112304685,339.7034002685547,340.3694506835937
1990-04-30,330.79998779296875,330.79998779296875,336.7768005371093,338.87590057373046,341.74935012817383
1990-05-31,361.2300109863281,361.2300109863281,343.6714001464844,338.93160034179687,342.7370503234863
1990-06-30,358.0199890136719,358.0199890136719,351.90019958496094,344.407900390625,344.0457000732422
1990-07-31,356.1499938964844,356.1499938964844,360.0043994140625,350.2689001464844,345.0879501342773
1990-08-31,322.5599975585937,322.5599975585937,345.96819885253905,348.17319915771486,344.0431498718262
1990-09-30,306.04998779296875,306.04998779296875,329.0149987792969,344.1093994140625,341.11945022583006
1990-10-31,304.0,304.0,311.9992010498047,332.4689001464844,336.4258003234863
1990-11-30,322.2200012207031,322.2200012207031,310.4246014404297,323.3449002075195,334.7899504089356
