Date,US - SPX,SPX,SPX ma50,SPX ma100,SPX ma200
2025-10-09,6735.10986328125,6735.10986328125,6525.55498046875,6320.877983398437,6046.400490722656
2025-10-10,6552.509765625,6552.509765625,6529.817373046875,6326.767080078125,6049.5087890625
2025-10-13,6654.72021484375,6654.72021484375,6538.15158203125,6333.909682617187,6052.912041015625
2025-10-14,6644.31005859375,6644.31005859375,6544.438984375,6341.906684570313,6055.933391113282
2025-10-15,6671.06005859375,6671.06005859375,6551.87638671875,6350.1971875,6059.1007421875
2025-10-16,6629.06982421875,6629.06982421875,6557.55658203125,6358.4596875,6062.391892089844
2025-10-17,6664.009765625,6664.009765625,6564.03677734375,6365.884384765625,6066.177241210938
2025-10-20,6735.1298828125,6735.1298828125,6570.95037109375,6374.350185546875,6070.4447412109375
2025-10-21,6735.35009765625,6735.35009765625,6578.188369140625,6382.581987304688,6074.778742675781
2025-10-22,6699.39990234375,6699.39990234375,6583.261171875,6390.459086914063,6078.563391113281
2025-10-23,6738.43994140625,6738.43994140625,6588.698369140625,6398.484086914063,6082.37869140625
2025-10-24,6791.68994140625,6791.68994140625,6595.1613671875,6406.69728515625,6086.7919921875
2025-10-27,6875.16015625,6875.16015625,6603.66857421875,6415.740786132813,6091.57654296875
2025-10-28,6890.89013671875,6890.89013671875,6612.50337890625,6425.256689453125,6096.895793457032
2025-10-29,6890.58984375,6890.58984375,6622.0877734375,6434.158989257812,6102.1676416015625
2025-10-30,6822.33984375,6822.33984375,6630.618974609375,6442.323588867188,6107.064790039062
2025-10-31,6840.2001953125,6840.2001953125,6640.019580078125,6450.337490234375,6111.516240234375
2025-11-03,6851.97021484375,6851.97021484375,6647.72078125,6458.634790039063,6116.089392089843
2025-11-04,6771.5498046875,6771.5498046875,6654.365380859375,6465.897690429688,6119.963840332031
2025-11-05,6796.2900390625,6796.2900390625,6660.9723828125,6474.090888671875,6123.6990893554685
2025-11-06,6720.31982421875,6720.31982421875,6665.75078125,6480.96298828125,6126.868837890625
2025-11-07,6728.7998046875,6728.7998046875,6670.289580078125,6488.423784179688,6129.919287109375
2025-11-10,6832.43017578125,6832.43017578125,6677.73298828125,6496.939384765625,6133.575236816407
2025-11-11,6846.60986328125,6846.60986328125,6686.354384765625,6505.727084960938,6137.746887207031
2025-11-12,6850.919921875,6850.919921875,6694.407587890625,6513.984584960937,6141.662985839844
2025-11-13,6737.490234375,6737.490234375,6699.115791015625,6520.437685546875,6145.15388671875
2025-11-14,6734.10986328125,6734.10986328125,6704.16798828125,6526.857182617187,6148.468586425781
2025-11-17,6672.41015625,6672.41015625,6707.713193359375,6532.171083984375,6151.62798828125
2025-11-18,6617.31982421875,6617.31982421875,6709.807392578125,6536.613583984375,6154.74173828125
2025-11-19,6642.16015625,6642.16015625,6712.009794921875,6540.98568359375,6157.763139648438
