Date,US - SPX,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2024-03-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2024-03-17,99.87118467878174,105.79317001127913,100.22253248845897,108.48074265315346,100.69273768237544,96.82052058810977,2765.5686114621158,110.98033790546447,91.40263023778405,97.99899487063193,95.4640357560429,97.32329440573679
2024-03-24,102.15645824861672,49.77929560370685,105.53244820759944,110.93747367781646,101.94872069921992,99.55937872992362,1729.5049824094729,41.63006267940631,92.68841322826592,94.66181621877038,103.42500745882646,101.97142066146338
2024-03-31,102.55011832769372,152.96065308322704,101.00151554946353,112.46632624382657,100.37872023670083,100.90681324104744,2643.74996316387,149.57445553498007,97.66948696521446,102.41034243455572,40.99930210044439,105.32409006944962
2024-04-07,101.57405899392917,156.6918849359588,104.62764671474677,113.50516995885185,98.04255682346607,102.29121901170129,1652.137643801068,148.90450075045638,99.0540799212296,93.77069765361861,40.75382178822983,107.67977709519249
2024-04-14,99.99453938158925,154.46098849953142,105.43105762806854,114.73583994004402,98.58849068477681,101.56880182587591,1508.0096755448137,152.10106611245297,97.29780675334347,90.25260380955989,40.54525760588474,106.52669212833578
2024-04-21,96.94634213375998,154.2403489248505,99.85709223038054,106.29609794766326,95.38854125269376,97.88005133379906,2374.970148955237,153.56035665799158,95.05436285384917,87.19644381321845,36.615015078959814,103.49127273445589
2024-04-28,99.53685760184315,153.93703987323136,94.86071898023441,113.76736917914052,97.87379203833297,101.64865319936396,2218.792481059581,156.9687472244726,95.35440225878334,92.58440828906006,39.74618380699529,105.99570231826083
2024-05-05,100.08002236089885,157.9597259879489,93.73037963541255,102.9622038947156,97.51603627939987,100.95517202161264,2101.0860790530637,228.3125318814033,93.75882508041009,97.70053779142522,39.29751621208663,109.51564590937161
2024-05-12,101.93201063114743,141.041673689816,97.39390804171944,97.26517807176552,112.13929304761989,115.84512016207267,9947.152432988172,1281.6573401716494,114.9600395097433,83.95761257936823,51.8176881646494,119.9838129802795
2024-05-19,103.50489745044393,141.61929104124252,101.7386034675185,97.88562733664938,114.1148162162434,112.06497541729745,9876.303308189443,1288.0509637592565,114.0356233721739,83.01272023253891,53.399754656892604,100.52518873804068
2024-05-26,103.5332011793792,142.0815040432552,101.99707846184492,94.77978060023483,115.56920243435127,124.84118252745266,9150.531696658836,1267.6404468470143,112.60330071131119,80.50021340972316,51.584503393451676,103.39012248385384
2024-06-02,103.0021298317777,145.3342891236623,100.77655505272737,93.01467131327121,113.76662168470304,125.08599511569972,9018.648840648546,1261.143631774413,111.58150207939363,77.7976603062282,51.47643549650116,100.49193966758226
2024-06-09,104.35819293365482,143.76448315430022,102.36750356223405,95.58547983426354,113.16438293884647,121.90529866077149,8963.284331987288,1226.0992874589224,111.84174569694589,76.4224349228043,54.75138811531782,94.3639255067059
2024-06-16,106.00953921433995,144.81878145442164,103.86347387338132,95.49740224757096,111.76609073908527,122.86795082097916,8355.821740077141,1217.5500877366665,112.26869247151951,76.54905691945252,58.733668369374136,98.29549642824867
2024-06-23,106.65399701543372,146.41900768864656,104.9210825636091,98.38059239826681,112.20415119695943,115.55731101335611,8721.843585694653,1276.8506801820263,114.68361948410318,76.43886749931387,57.996899273488744,99.15904580746793
2024-06-30,106.57319320477976,145.66578918248157,105.96504508583658,101.67267828324427,111.84481093758816,112.01826664665906,8835.231369736517,1264.304372562646,115.440363309672,76.29774831179333,57.87408475407775,95.18845997652896
2024-07-07,108.65587116066348,144.08364561597594,110.85558547243181,110.26832358395362,115.53473038833437,110.74434916126803,8920.388840652593,1229.9856187163186,118.32216394629891,76.47134120412137,59.92076723842392,97.19756453739285
2024-07-14,109.59582179781664,146.03228747196647,106.13051824005173,108.08283390522713,110.60833970767172,120.58759634845356,9128.516573125988,1248.5377092524668,120.08724626342111,80.7456922773742,60.365890778667975,100.43729384906197
2024-07-21,107.44209862334284,148.44800344400707,101.20179995969936,102.48942931919929,109.4003549853634,112.9290380845128,9387.285285374766,1252.8599783837822,122.25574143135015,78.9402842308293,55.664872757408325,95.0968152447037
2024-07-28,106.54626177785347,151.3749057025387,94.3716073942816,102.03315200464738,107.42652425848989,154.30164955048446,9918.151737724591,1254.073832135114,123.51355426793577,82.29196976812376,53.44315872579608,93.85447821545475
2024-08-04,104.34979711372485,152.23077333766062,91.96479752659789,95.41223165843338,109.65747149668846,140.23244183102827,9662.123087891501,1207.3283221239592,119.07103615988459,83.21857580599328,48.022315671024316,97.32693169661023
2024-08-11,104.30295777779324,147.00961562897464,90.23638678632297,86.17776562085612,107.65152823973312,139.78608192391303,9675.719636741263,1110.0367626800448,122.115651190088,80.44106195998445,47.95003021304244,100.2600333009896
2024-08-18,108.40331994163523,149.56195427059498,91.50507605142731,91.72001207521205,109.29981517834644,148.95062089297704,9691.901717792227,1010.5788949391408,127.096217248133,80.60530172415031,52.734597357487544,100.70072032151982
2024-08-25,109.97171818977736,154.13712376893244,92.88718243801875,92.2412799166358,111.06052198555155,151.862047370014,9846.103651360274,1029.4695606030054,129.81184729354635,82.38147686842557,54.15228578886633,108.01429234931396
2024-09-01,110.24086092128924,158.4070889135241,92.54989145365911,92.01959571308468,111.92594082270013,152.6523414451032,10076.496510188363,1045.7001768867228,130.7498651591195,83.11467314872648,49.39121881402446,108.66060801265559
