Date,US - SPX,Magnificent 7,Ex Magnificent 7
2025-08-12,100.0,100.0,100.0
2025-08-13,100.32300788824048,100.851298070433,100.0
2025-08-14,100.35341486908939,101.27170124620636,100.39851454797063
2025-08-15,100.06267746874535,100.94016292939982,100.1878711440433
2025-08-18,100.05259483508569,100.78282211850187,100.2448017937534
2025-08-19,99.46647641724256,99.1009646086344,100.10948201867325
2025-08-20,99.22460683788913,98.00419528865866,100.26363270096519
2025-08-21,98.8272934999359,97.47128591402804,99.88307320405696
2025-08-22,100.32812874500527,99.91484221503968,101.19291607546374
2025-08-25,99.90009026646332,100.29908393305165,100.41997302363062
2025-08-26,100.31307675921883,100.70098671118886,100.88242507050641
2025-08-27,100.55292375165482,100.72830015268947,101.1281027204092
2025-08-28,100.87034111875266,100.72830015268947,101.45085571145796
2025-08-29,100.22495408651946,99.78215694352447,101.09350640250845
2025-09-02,99.53116889767347,98.70717542643592,100.63499570830487
2025-09-03,100.03878518733093,100.88077980050348,100.40858689368856
2025-09-04,100.87375754833982,102.22225097730362,101.08562369716398
2025-09-05,100.55447667419443,101.95076026492289,101.08080648834235
2025-09-08,100.76624228197497,102.0260908065264,101.39436298982257
2025-09-09,101.0371174242757,102.87647959465593,101.5231138437823
2025-09-10,101.33855862729526,102.3326588323836,101.5231138437823
2025-09-11,102.19850652788034,103.48667796508215,103.05454832098376
2025-09-12,102.1491690425119,105.21228594270542,102.40203548969117
2025-09-15,102.62994628554564,107.26443118446609,102.4064147704381
2025-09-16,102.49776606411251,107.85053357385014,102.25313994429554
2025-09-17,102.3983259949537,107.41876436928332,102.25313994429554
2025-09-18,102.88872378250116,107.6280391886684,102.92448368279994
2025-09-19,103.39137829526375,108.96436942321426,103.03352777339849
2025-09-22,103.8473390785912,109.78667537712484,103.1070996899469
2025-09-23,103.2759544867947,108.08911526132422,103.01338308196262
2025-09-24,102.98196731196532,108.34857546938201,102.65953719761067
2025-09-25,102.46612432046382,107.3203170737337,102.01884842433478
2025-09-26,103.07086265831855,108.18843686678106,102.69719901203428
2025-09-29,103.34251047427314,108.59303251943243,102.8706185296127
2025-09-30,103.7652690161804,108.74264443075081,103.21220242787324
2025-10-01,104.11806271625392,109.40537134040102,103.54896911731217
2025-10-02,104.18244461217692,108.86609698964608,103.65538563946257
2025-10-03,104.18926989611934,108.08400929146624,103.86602904338993
2025-10-06,104.56920565209262,109.69711107023228,104.0604691085536
2025-10-07,104.17064997610773,108.32500407428415,103.82092245169655
2025-10-08,104.77772148538784,109.2377486449945,104.31840874454781
2025-10-09,104.48899909672934,109.29489354052846,103.83624993431077
2025-10-10,101.65612749903113,105.1446493282852,101.51566906651253
2025-10-13,103.24182806708262,107.71627454450203,102.8951425017955
2025-10-14,103.08032412296238,106.48986255148812,103.30548110778285
2025-10-15,103.49532562740342,107.3296547035425,103.65538563946257
2025-10-16,102.84388598488165,106.9025718000782,102.7274160491881
2025-10-17,103.38594685399104,107.9559753486573,103.05936552980539
2025-10-20,104.48930968123726,107.9559753486573,103.05936552980539
2025-10-21,104.49272611082444,107.9559753486573,103.05936552980539
2025-10-22,103.93499208691274,108.78342224482216,103.47933855343598
2025-10-23,104.54066217829126,109.74142109632868,104.08499308073642
2025-10-24,105.36678666844028,110.45118587898573,104.69064760803685
2025-10-27,106.66174983614773,113.32843486636,105.39483595214323
2025-10-28,106.90578593182474,114.77234019188656,104.82728116734108
2025-10-29,106.90112716420587,115.89075742516432,104.20104402053005
2025-10-30,105.84229155007124,112.7282735736683,103.71144043302327
2025-10-31,106.11937838253043,114.0998559836721,103.91814248427838
2025-11-03,106.30197934749377,115.45199374133996,103.60327219857413
2025-11-04,105.0543310782373,112.8175231289943,102.71559199117135
2025-11-05,105.4381529281756,113.80902553614432,103.26562965298581
2025-11-06,104.25954532246095,111.50546373747201,102.5259691348293
2025-11-07,104.39110437487822,110.43653244494121,103.00944172929036
2025-11-10,105.99883371729659,113.52728791165134,103.93215618266855
2025-11-11,106.21881845168926,113.29062970597307,104.36877047313749
2025-11-12,106.28568502367564,111.94226896710427,104.84655000262757
2025-11-13,104.52592835224466,108.9377554296394,103.34270499413176
2025-11-14,104.47348502179696,109.11691901582081,103.05016904023682
2025-11-17,103.51627114360853,109.02683012298394,101.8984182037942
2025-11-18,102.66159560442625,107.0736217903209,101.5923064795838
2025-11-19,103.04697037690416,107.97650414527813,101.69740921751011
2025-11-20,101.44280896871096,106.1576247867558,100.16334717186048
2025-11-21,102.4392852738401,107.00077428885379,101.25816735859303
2025-11-24,104.02373592862799,110.79884647048084,102.22992975633683
2025-11-25,104.96636748540784,111.62989552346335,103.50955559058978
2025-11-26,105.69133990398849,112.07114224742409,104.30132954963476
2025-11-28,106.25729305451227,112.77926332745565,105.01077303063747
2025-12-01,105.6916504884964,112.71568351100476,104.08148965613886
2025-12-02,105.9513597389757,113.21764231492084,104.12440660745878
2025-12-03,106.26707267889593,113.40792712312174,104.97135950391507
2025-12-04,106.38187531834913,113.98332795924178,104.9065461488605
2025-12-05,106.58789890034903,114.3569730411786,105.1071172070699
2025-12-08,106.21726552914966,113.3148306042041,104.6823269746177
2025-12-09,106.12418107955538,113.57967656129017,104.46555257764464
2025-12-10,106.84047228237799,113.81598504300557,105.62299647905829
2025-12-11,107.06263110832612,113.08558654653882,106.33287788813566
2025-12-12,105.92095275812679,112.23285460785802,105.16974092175101
2025-12-15,105.75184328117837,112.35840551053053,104.9823077057824
2025-12-16,105.49973956352726,113.29877827430809,104.37533939425788
2025-12-17,104.27677139980287,110.89222276856876,103.5656103841505
2025-12-18,105.10413065275168,113.12017424646727,103.94003888801302
2025-12-19,106.03094512532311,113.92887593822196,104.74626447352287
2025-12-22,106.71341291770966,114.47378084477921,105.5524900590327
2025-12-23,107.19900043300026,115.54606948735365,105.60197593147302
2025-12-24,107.54434010488363,115.70515891806596,106.05041427995864
2025-12-26,107.51160752784126,115.32245598549065,106.02063517087954
2025-12-29,107.13617145961689,114.37288548148945,105.75612661376496
2025-12-30,106.98878774775933,114.32430882304597,105.56956925394572
2025-12-31,106.20159994957925,113.55446146356682,104.70728887487518
2026-01-02,106.4028208345542,112.47157618491724,105.36724648343755
2026-01-05,107.07891785691234,113.46835942390672,106.23434407132973
2026-01-06,107.74245514477934,113.03529624067723,107.33704696340673
2026-01-07,107.37182934881187,113.33665337948757,106.51549389528266
2026-01-08,107.38004847542398,113.3475647671293,106.60964843134163
2026-01-09,108.07538658680957,114.16581392307053,107.33836074763082
2026-01-12,108.24588990642769,114.12769401111704,107.57221433951688
2026-01-13,108.0359878056947,113.63507283700976,107.36551228826178
2026-01-14,107.45979294164133,111.85816035403258,107.2446441396465
2026-01-15,107.73703127873853,112.05407571803576,107.48769422110114
2026-01-16,107.6678315353268,111.79639910218864,107.57834533256259
2026-01-20,105.44699322380356,108.33392203533751,105.86867412896106
2026-01-21,106.66888570459807,109.5502619782206,107.14435861054179
2026-01-22,107.25423144878734,111.85116587477503,107.29500586823619
2026-01-23,107.2892896220232,113.02277612280626,106.7686163224552
2026-01-26,107.82638871423771,113.53603101072325,107.17851700036786
2026-01-27,108.26652483812487,114.55781951305835,107.22844080088285
2026-01-28,108.257676967265,114.60520711002806,107.0633419167236
2026-01-29,108.11773970836569,114.54711795979433,107.25296477306567
2026-01-30,107.65262804490234,114.16130248394943,106.66438944067826
2026-02-02,108.23301201219672,114.07460591355243,107.39660518156498
2026-02-03,107.32342361696719,112.32192930120257,106.84262616707831
2026-02-04,106.77903715166433,110.36763682425462,106.65212745458686
2026-02-05,105.47088550521796,108.37004852070262,105.56475204512412
2026-02-06,107.54821862361672,108.85700416661128,108.13013470667579
2026-02-09,108.05273664342687,110.01637407594187,108.3793157811761
