Date,US - SPX,Magnificent 7,Ex Magnificent 7
2024-02-18,100.0,100.0,100.0
2024-02-25,101.66274736726383,102.58185268541608,101.28287834683869
2024-03-03,102.62727838237228,104.36916009511634,102.34075472687698
2024-03-10,102.3597736388771,103.09284255471792,102.49600083916816
2024-03-17,102.22791856766588,102.77630886190198,101.95788424723993
2024-03-24,104.56711942077806,107.20876412425294,103.70650093095219
2024-03-31,104.97006898662788,105.8015170011745,104.83518212571788
2024-04-07,103.97097686200539,106.35751933858286,103.2795741221514
2024-04-14,102.35418416223257,107.40813811537772,100.64196365352845
2024-04-21,99.23405635928805,99.10264347001002,99.09160045105288
2024-04-28,101.88570212849808,104.74366614402832,100.93305011407443
2024-05-05,102.44168434635364,107.4036252972385,100.71801326934676
2024-05-12,104.33737534759864,107.9425599250178,102.83848635040516
2024-05-19,105.94737873542628,110.27047980513882,104.25772952560773
2024-05-26,105.97635036829578,113.48082920140476,103.03673983164188
2024-06-02,105.43274693902993,112.74610769435493,102.36855217265884
2024-06-09,106.82081006051169,117.42971864314602,102.53533684735005
2024-06-16,108.51112437541501,121.91337703438423,102.74827577164136
2024-06-23,109.17078992181268,121.77197539935547,103.91734193480711
2024-06-30,109.0880793241357,123.60944451837238,103.62782891458842
2024-07-07,111.21990376540506,133.444437373077,103.99863635171636
2024-07-14,112.18203510991222,131.16592706591607,105.79183384470143
2024-07-21,109.9774889437128,126.45205709293512,105.10948522277292
2024-07-28,109.06051237649623,119.96036819967486,105.3869352004825
2024-08-04,106.81221611823626,116.89651182300496,103.30370020716964
2024-08-11,106.76427148000269,116.05168912468686,103.75580206120682
2024-08-18,110.96139290928552,123.02931596091204,106.63991818110297
2024-08-25,112.56680180583992,124.72416845540121,108.53643825557914
2024-09-01,112.84229569658098,122.3713702188717,109.71179818005403
2024-09-08,108.0480367231542,115.53705428688797,107.24097238612225
2024-09-15,112.39519609357038,124.07322336714091,108.92822489707076
2024-09-22,113.92408866412191,127.3304366440833,110.27876117798232
2024-09-29,114.63569829975535,129.40702726783576,110.83628353394698
2024-10-06,114.89340926567446,129.62896534965665,111.12160071329293
2024-10-13,116.17118508708121,128.08963151104194,112.61007526289563
2024-10-20,117.16288310472893,129.02366915257377,113.37843862271524
2024-10-27,116.03314549895443,133.53567729878907,111.03873285605643
2024-11-03,114.4485044833358,131.08139851077004,109.92368814412714
2024-11-10,119.77737299865277,141.95133099206785,114.75782130962683
2024-11-17,117.28175459232084,138.28026914910237,112.67458631631395
2024-11-24,119.25395216481016,140.09019850614152,115.54401699315552
2024-12-01,120.51335002112393,141.8805723179107,116.48440982875724
2024-12-08,121.66986443909602,151.4690380176,115.80468360737417
2024-12-15,120.88713285893343,155.92695020278754,113.90763905278894
2024-12-22,118.48501381322582,153.79302364600994,110.7953740854378
2024-12-29,119.28391878305095,155.1107665426606,111.52073007631185
2025-01-05,118.71715755700656,153.55372857134594,111.19030760758399
2025-01-12,116.41112288293695,150.53413252642605,109.26651456743501
