Date,US - SPX,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2025-08-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-08-07,99.92025199845199,100.1862119017199,101.26697996841077,99.73139866353212,102.46183318226967,99.98730040055682,100.48464738588055,101.5069025248237,102.17748968949547,99.40997583847593,100.31572742253579,103.5617048813332
2025-08-08,100.69960152163773,98.64000201692446,92.6536320875273,102.85240097166172,102.32041537392686,102.17673798197391,100.60818279159656,104.76483519119554,101.71187660471594,98.33689667219355,101.37261684726171,103.73668405079934
2025-08-11,100.4474368478246,98.0858195448223,85.09187257598259,105.8940858833935,103.15934169963445,101.41402432287678,99.09275907554112,104.04955564056311,100.27681790793801,96.9161266372084,100.0090438822312,102.27662979914693
2025-08-12,101.5870567985383,99.05105263559508,86.74023915281607,105.62154878570828,103.83150050374184,102.2453786901579,101.07822832760776,106.6646284566367,98.55465345399249,93.39164249217274,101.52474165026457,116.11960478677898
2025-08-13,101.91519100542892,99.23943953880918,85.31326876233088,106.1250164314925,103.09991861490838,102.32427677661143,101.144737683956,108.23343694550877,98.60666773783879,92.47495984295475,100.82240793352273,115.01589989959487
2025-08-14,101.9460805623346,99.2721010980499,85.27121505885654,105.02808897658451,102.75455950321204,102.32432895696981,99.62204771429842,107.17990351341655,97.33030384932803,92.57868929271115,100.48698463942623,114.6265073568456
2025-08-15,101.65072899431252,99.61296027627117,85.51075332973541,102.21209294364716,102.71928113231985,56.86694301310735,99.25527619679795,108.06489022428347,97.19194119154386,94.16135901252505,99.75708229636182,112.70148970353584
2025-08-18,101.64048634352989,99.42306268809749,85.29553147283873,104.32395305166501,103.99144240074003,58.641278184392945,98.05589978625046,108.12423841237111,98.55433163895182,92.45243316452574,99.86572762405017,113.33911746398127
2025-08-19,101.0450658934889,99.84061994690033,83.65494773069243,102.83810991925935,104.02525571210953,58.194235255795924,98.09887017976861,108.41734500758287,96.68451758725583,92.8895092395794,96.24035042467513,111.43190494749015
2025-08-20,100.79935770653275,100.35860390957664,83.35209505892031,101.05930958530858,105.29946344671643,57.70066134436623,98.53953658496951,108.76271814102853,97.04899535836904,92.46763795587727,95.75020386268366,110.32011805416515
2025-08-21,100.39573878023805,99.91756792210134,83.40960870909785,99.72913472395008,103.49940818836971,56.72616234718267,98.80266279800614,107.62520650446929,97.30190932443776,92.359691488508,95.65749100367576,109.74840201395182
2025-08-22,101.92039313309913,100.4390417178678,84.60926545881563,106.76719767207601,102.4837440525936,59.14568876626749,99.66925141658987,111.87226300100104,97.91316820097046,94.8079465970569,96.73265377296899,109.99384896931004
2025-08-25,101.48556144078313,99.47596203769542,85.02592513747558,108.51910628160255,100.34009823199814,59.00484220257901,98.92997241489525,110.21608342968025,97.40513288148951,94.15586658642468,96.72495194700902,109.8316025550476
2025-08-26,101.90510226374896,100.07455480566449,85.24700577843444,110.83630194338826,100.08140301234538,58.61807745916751,98.96605554895604,110.79213507737411,98.17164543408444,93.17897123201061,97.69940352449004,112.6553888154039
2025-08-27,102.14875576418447,100.28831411626675,84.68115933704794,108.89522586700365,100.74760425479315,58.9310360106743,98.08984577387159,110.706262685068,98.07855275973688,93.49361559096954,97.52744400404157,113.36821010512395
2025-08-28,102.47121072518661,100.21277157017346,85.32742449097064,108.14286743425336,100.1833759507769,59.954086435555176,98.01298021120732,109.91132537826786,98.64559586852677,94.02914744048523,98.73136503095022,114.38289751596682
2025-08-29,101.81558103418145,99.49808235238034,84.47443584261103,103.36256306197147,100.56911656792498,59.69988798367359,97.34300108922506,110.34536823999726,96.53641652770331,93.40030391738676,94.38045556744868,111.61283519430808
2025-09-02,101.11078508032863,98.90057564353457,84.29725042567607,102.93916694952343,100.55254545424815,59.5019748395219,98.39060622501584,109.49536561125942,96.12177096176843,91.72883852864673,95.0058930730813,110.81057724865266
2025-09-03,101.6264575288216,53.030391003984924,86.7573808825949,104.44849359511272,101.12517784290907,58.884225802628265,98.77723571700356,108.29616108722051,95.06594996985748,91.1481542290655,95.25503823850983,111.6938316601618
2025-09-04,102.4746813754518,53.10482481987412,87.65347295798391,105.9509786526265,101.22322429628063,59.857047786540704,99.15435692670573,108.86880888264116,95.46432249529202,92.44590303160541,96.1385608420251,111.97189144854758
2025-09-05,102.15033333248684,53.31733123051341,87.6093559506387,109.15187984732823,101.65669242060949,59.13676345826306,98.02545633398363,109.46117299489326,94.56442403770345,92.76695282888474,96.38907127491899,113.18045915743531
2025-09-08,102.36545978074263,55.647321105776136,87.86953483809636,108.06772515718981,101.53240151208551,59.2626573930857,98.63194844792245,110.10842565955082,95.27559835696809,91.67544084580786,93.3175063907542,111.2012941220283
2025-09-09,102.64063386540481,56.83580944490521,89.76098452402238,109.01046408915165,104.14903519655627,58.70694209026944,98.60211884832377,109.84255207944531,94.78546928635274,91.91799010858377,93.7344797219252,112.33151630936413
2025-09-10,102.94685911153046,57.85015059371348,89.1524874757574,108.91184176980306,100.54326465454177,60.06332674066831,98.76176745020607,108.12864653354364,92.63257493031722,90.44952725763378,96.5282223867629,116.36902297769416
2025-09-11,103.82045487373566,61.60315929217308,89.3507305328807,115.97189122084993,101.71275608188736,60.226943807782774,100.29838739340646,109.14066568855631,93.6219992044158,90.82355325651687,96.01955759376465,116.0911778090911
