Date,US - SPX,US Cyclicals/Defensives,US Growth/Value,US Small/Large,US Equity/Bond,US High beta/Low volatility
2025-09-30,100.0,100.0,100.0,100.0,100.0,100.0
2025-10-01,100.3399920834962,98.095468172631,100.26482726880064,99.87247565892338,100.43064974221419,102.00949591704507
2025-10-02,100.40203779159623,98.08309621225604,100.743596698095,100.46463956996874,100.25441084554541,103.24532537588662
2025-10-03,100.40861541049233,97.43345442228015,99.8248660356542,101.23616519110219,100.44359295465375,102.63279052773417
2025-10-06,100.77476466214034,97.88778468773008,100.67245957470696,101.22664465700508,101.61097374400107,103.89117138090016
2025-10-07,100.39067114051822,96.99459107842407,100.16140837145149,100.49794760654929,100.6553146658689,102.1735044365401
2025-10-08,100.97571420457608,96.87985051396076,101.24472068678128,100.90501824372278,101.17611183895339,104.17694695262416
2025-10-09,100.69746851466851,96.47052744182433,101.67856687240189,100.51488136251281,100.96219062521605,104.39226437966624
2025-10-10,97.96739165508222,94.87948888408829,100.0297297979026,100.26270252527074,96.67242045863642,99.28763328301152
2025-10-13,99.49555284339296,96.30434952093225,101.06089559730364,101.41974976002048,98.20995892089005,102.58297025767969
2025-10-14,99.33990929748256,96.2231977474288,99.41628283505251,103.10645189356282,97.7769050407458,101.50093070838635
2025-10-15,99.73985188749921,95.93428158760075,99.67887193012598,103.65958026604727,98.42764784805152,103.13530062650274
2025-10-16,99.11205065043963,94.63421058302576,100.21513979314199,102.11737908379625,97.0295519583029,103.33234457308443
2025-10-17,99.63444207702078,94.65594156954799,100.17091878604359,100.98214112900341,97.73011650478534,102.28851075603514
2025-10-20,100.6977678291799,95.15388356908811,100.77487922398969,101.85125390104875,98.36904752593917,103.44612091867288
2025-10-21,100.70106028880492,95.65619426191402,100.62361040723897,101.39187017581438,97.88643639204444,104.04825768814277
2025-10-22,100.16356442993069,94.66667063547942,100.19759871307619,100.48385531796565,97.31406446801756,102.29469255648888
2025-10-23,100.74725692851041,95.1544974891457,100.73198540765942,101.13913749142411,98.56564952264219,104.63546272818265
2025-10-24,101.5434043273286,95.53572066133803,101.1971806727616,101.51949115986456,99.32772816579852,105.91926556571967
2025-10-27,102.79137793158488,96.06135276947676,102.64334730292867,100.45079070756518,100.16011644918312,106.64893331507324
2025-10-28,103.02655883362537,96.58345028170388,104.1246326212327,99.56197064374444,100.16421779248562,107.23324130665193
2025-10-29,103.02206911595488,96.62307303429046,105.41657323277673,98.58568879701562,101.23546347577832,110.1119909083304
