Date,US - SPX,EU - STOXX 600/SPX,UK - FTSE/SPX,JP - N225/SPX,CN - CSI300/SPX,TW - TAIEX/SPX,KR - KOSPI/SPX,AU - AS51/SPX,BR - IBOV/SPX,CL - IPSA/SPX,MX - ME/SPX,IN - NIFTY/SPX,VN - VN30/SPX,TR - XU100/SPX
2025-09-17,101.51136280006547,98.60784173229784,98.42029015004931,103.62431621248649,102.70447806808598,103.63798737233323,105.0533526747421,97.93854906860872,101.72539723862641,96.70546892278227,101.35553731846618,100.8846737494866,97.74024212080002,101.57611182329191
2025-09-18,101.99751281515981,98.91847365172993,98.16116837550942,104.31171644329737,101.02652184720404,104.48656418403831,106.01981737729291,97.49281016730352,101.17508265508354,96.24454233860456,100.42655054042851,100.77384778118612,96.90430518540096,100.02599070456122
2025-09-19,102.49581338904467,98.27794218302353,97.56284355380653,103.21429807882838,100.62053138193325,103.20794638999871,105.01485709229085,97.2439035136093,100.93620593345535,95.77663336657099,99.73675142363282,99.90307534912559,96.31871653376132,101.7594071392175
2025-09-22,102.94782468951493,97.72106315371995,97.2399713804694,103.78277819673771,100.63910830087381,103.9689274622925,105.26420065999062,96.9520450515756,99.97228110428867,96.51842496451748,100.60308772874214,98.97471053301028,93.83662468096551,102.86973344378507
2025-09-23,102.38138936908712,98.53692780823481,97.74235433765419,104.35696684161759,101.13258366802096,106.02570579155541,106.38182221826335,97.29294155173784,101.4368406963141,97.37039785135299,101.75368081312972,99.39257573345637,94.4517174168439,102.20930127382476
2025-09-24,102.08994867928382,98.62769738373109,98.3094969006411,104.9692327445604,102.4600736085088,106.12323886902455,106.25555246020788,96.63137934402187,101.7728321233288,97.30663671935999,101.28786425173651,99.23039731514028,96.38701759146032,102.81930256154924
2025-09-25,101.57857386383264,98.46922265415921,98.4150895710163,105.7857996140312,103.5941987104346,105.95362832782872,106.7587934118413,97.59543356876449,101.45741723382689,96.99898684842546,101.86205491731495,99.06904863652677,97.14351236608157,103.43347012283928
2025-09-26,102.17807402378747,98.65649660055975,98.58998082601319,104.2458925853533,102.01248817076593,103.53678096935643,103.5316285857453,97.40906599407366,100.95962270141683,96.24417008450355,101.85623601691356,97.55339454781668,96.26076136309449,100.78092645343939
2025-09-29,102.44736885581989,98.57638340053319,98.48978872313515,103.25838292358043,103.30970888449423,103.26462249079597,104.63666304323522,97.84841575692305,101.31049178246036,95.70947517638808,102.08260259182593,97.21882565307195,96.504181959894,99.58694744168017
2025-09-30,102.86646550908438,98.64307206370157,98.62211309884536,102.58399563978851,103.34847579614315,103.80969153486927,104.0095999022455,97.05291129825746,100.82893715398589,95.04523032350953,102.16269113484692,96.72919718520039,96.15745604078131,98.85794336551312
2025-10-01,103.21620334838761,99.4430473208837,99.29705508615308,101.36772585437723,102.99828976480634,104.10852811272082,104.60245595065001,97.34087365517419,99.99276452901846,94.3925705497297,100.22111794918291,97.2835461361835,96.21740478209566,100.3847971825764
2025-10-02,103.28002757531019,99.90610967899552,99.03924685622654,102.18254375310349,102.93463964413034,105.62782502212447,107.36253131630005,97.77124012914155,98.85437995473812,93.91529745361444,100.62915641474417,97.22342757047244,95.60123927622615,99.0925359084223
2025-10-03,103.28679373938327,100.40116600770965,99.69999918476609,104.06937850673164,102.92789654914772,107.15314275644903,107.3554981567267,98.65056086469805,99.02026868412405,93.81016762426495,100.24109967118902,97.44389306234758,95.58007038544316,97.08235283203234
2025-10-06,103.66343853304156,99.99954838077497,99.21100868840979,108.6193320219484,102.55392423155885,106.76381867155989,106.96543884532895,97.97468870205836,98.2550642599352,92.86152951691717,97.3306135810028,97.80512273947366,98.27797488483681,95.62812327741497
2025-10-07,103.26833510309952,100.21139460574172,99.6372367607074,109.04882627094767,102.94629433394746,108.97801335820267,107.3746873505058,98.02978827139738,97.0845387400449,93.19043196487463,97.39820008554209,98.29931912974219,98.17484533018006,96.70258000552792
2025-10-08,103.87014822480185,100.42183376371985,99.74192998188188,107.92888081354239,102.34983392814621,107.75625664459949,106.75256928395247,97.85265374470404,97.06075741414182,93.48372282774376,97.91584100870743,97.4878745343734,98.28581981272363,95.6280714695668
2025-10-09,103.58392671816262,100.26233402927029,99.60411552211991,110.14395389529948,104.1539580591571,109.00520020460544,107.0475463347955,97.4887613032014,97.02960401730193,92.78761111215213,98.07473083187078,98.28670499941289,99.47688464677732,95.63118868754039
2025-10-10,100.77559314702475,101.7684079806335,101.49773110241603,112.06762440864237,104.95035545056825,112.04286987841805,111.93384078499926,99.4693880030061,99.01015144032095,93.82810584644884,100.39279493750901,101.44110760730598,104.33942938863356,98.2355000630411
2025-10-13,102.34755854872164,100.644048094976,100.10207075131592,110.34636763692482,102.82683747312267,108.79254503799562,109.41945481066571,98.3581711901022,98.25382251924182,93.65132532536266,99.62796459327072,99.6539508606853,104.38174368848814,95.24534372228752
2025-10-14,102.18745353425061,100.42993692348018,100.36402088396383,107.66604584056236,101.75687836151361,108.43577711446343,108.89565792859774,98.51227657072465,98.33810046990429,96.13177409094536,99.35993083567236,99.48625315675888,104.61854131123711,93.22771708366912
2025-10-15,102.59886034066623,100.5995200680335,99.66526831457587,109.12356067248821,102.84982324132068,109.9461244343951,111.36611394977866,99.07284732516554,98.5802270076147,96.80049934782284,100.34847278556222,99.78894399943682,103.98946732108749,94.18669747189666
2025-10-16,101.95306339768074,101.92855804336183,100.41725211063563,111.20856606152924,103.77394398652015,112.15219988312823,114.86284392032313,100.33595035994158,98.92386051124316,97.40906191559361,102.47012561940691,101.4590075980047,105.30584648968009,93.93460110882278
2025-10-17,102.49042899432723,100.43457799831803,99.02778297034942,109.03158859624908,100.9010794466582,110.17002159187297,114.27645978064736,99.13021906296954,99.23465628136566,97.08794203885775,100.62801230039456,101.41836570201318,102.41598245399422,91.98227285860024
2025-10-20,103.58423461242121,100.46912008334847,98.49532973103375,111.51544410380872,100.36606594556856,110.54884364234266,115.05433342544539,99.0037458662342,98.94728327485363,96.37596495214586,99.4500126264523,100.86771042120442,95.88733582222434,93.46821734801416
2025-10-21,103.58762144926578,100.60973638418278,98.73740826998136,111.80779953484254,101.90312586993795,110.79986711007382,115.32653453180527,98.68611067226205,98.65362331033255,95.89924853797662,97.9978155364517,100.96374248228011,98.19256396273052,93.3119177254078
2025-10-22,103.03471845698418,100.97143122578538,100.19400618546061,112.38893037829175,102.10974782305186,110.97900422606435,117.75984923619795,98.7755733017931,99.725199497597,95.72323699618322,99.39006700516667,101.50553224175529,99.49134896437184,94.5667541003338
2025-10-23,103.63514229971477,100.76181471496102,100.27903992216136,110.22814079891971,101.82264950307744,109.87052802820843,115.92842480862203,98.56229563427024,99.72790911478927,96.2223011813492,99.14263410756233,101.00639293428517,99.67822848393742,94.52606104450506
2025-10-24,104.45411098912156,100.2032598768601,100.18925547081272,110.843412538401,102.21604719788392,109.00909211638428,117.89171932422163,97.90211240422735,99.2523857025942,95.83066589365806,97.77929443719351,99.841913666308,98.83672995149037,96.73358690829265
2025-10-27,105.73785732630634,99.20504732552978,99.05701330911879,112.19109822169922,102.17390956803025,109.49016496810546,119.45170836520616,96.64184469913039,98.58190531470848,94.90664160628968,97.72136458596485,99.2831983880484,95.43559869441974,94.78747568817745
2025-10-28,105.97977960778778,98.76074914841783,99.2702868791314,111.28540075558276,101.42090932932524,109.06649796706505,118.2233206559588,96.26011833897903,98.6645845847757,94.9422590715566,98.97185705517792,98.9426892882616,97.64833414317724,94.72489516746514
2025-10-29,105.97516119390879,98.70330034064065,99.88274655054549,113.70239867936434,102.63294613524647,110.42007031359289,120.31391602294129,94.86538953504493,99.47469857395272,95.91651459423245,99.85506016552364,99.39602853310235,97.67663611186838,94.72902329301454
2025-10-30,104.92549709903531,99.59196477952746,100.92249767392019,114.88006516426424,102.83161889381769,111.49628309926358,121.68843461391975,95.92649839815093,100.56939549711308,97.93959731028153,100.11694735150431,99.71202397546216,97.41008667504161,95.3793841554219
2025-10-31,105.20018383540123,98.82389178724983,100.21746554338603,117.0039042461122,101.05527101306018,110.99216195535908,121.98276252166951,95.45996572904902,100.81932951852394,97.68386859037504,99.66391957186742,98.85310145081125,95.1461925684772,96.3085299847098
2025-11-03,105.38120313060875,98.72141230465627,99.88182151726444,116.80291997516107,101.1585282175042,111.19881978086632,125.16390230878784,95.28203866167983,101.26117376797023,98.37334172427276,99.30997997154847,98.84155220911042,93.5862456678645,96.9218604381034
2025-11-04,104.14436185535578,99.59711257079597,101.20961938237447,116.12866731558972,101.59653698962765,111.65362278922318,123.64661200497795,95.70675718988242,102.63400379956629,97.5649986747785,100.06732964569025,99.37215530291962,96.74036170188329,96.77576635316332
2025-11-05,104.52485908205458,99.46412231292243,101.4859954731595,112.81889812504204,101.41426283282078,109.66649637739847,119.68987742633578,95.89821422822168,104.01799806472329,98.34877784796716,101.28157371675148,99.01041523614605,95.81730164087247,96.92060987371816
2025-11-06,103.35646044760315,99.88499288558329,102.19970954754898,115.61986920835197,104.02680135364281,111.63603712201515,121.70882608925955,96.58514167157452,105.22419919575681,99.75012894502864,101.96529562267523,99.78565196687019,96.03392853570973,98.93562805449874
2025-11-07,103.48687994977568,99.21280983684265,101.513053127535,114.09594486331054,103.57231314860493,110.50409848434033,119.3609869114604,95.93782022877207,105.58840498841155,101.15644747546129,102.29359201580945,99.59191957730725,93.60998648276322,97.48368142893885
2025-11-10,105.08068331498484,99.09716297925263,101.05315894948698,113.78547098429482,102.35578796563205,109.68641505662269,121.1028887775623,95.56099227012645,104.79265594096417,100.19375687464753,100.29360652130525,98.3970531692945,91.15292302602826,94.81432685896903
2025-11-11,105.29876256546508,100.15390754371332,102.00252380500885,113.39630198683575,101.21080906237474,109.12713404375167,121.83563110276322,95.00976055550846,106.25366635806029,100.51059966504772,102.0326931260066,98.65631401816813,91.84243170063904,92.75367091393035
2025-11-12,105.36504994645644,100.79826696932635,102.06006499205928,113.81617196502607,101.0110827953411,109.69489424316545,123.06363014375438,94.6097692311726,106.10893768499616,102.34060113836449,100.17614629348279,99.2881878679408,94.33775242083033,93.25982701478206
2025-11-13,103.62053609647153,101.86896864257005,102.69208949675226,116.22759966868112,103.95337984272447,111.36793778976741,125.74572209647089,94.00031026165453,107.57332160956712,102.13372485816514,100.79679216931893,100.97283475316637,95.5140546477073,94.72092000179697
2025-11-14,103.56854702446483,100.89330343538802,101.59852506971232,114.23309798410142,102.37020978698695,109.40305504538826,121.01073045534052,94.03548581759384,108.02195296200598,101.05521493768642,100.52352380705317,101.14414407129372,95.93671730560808,94.2077192075992
2025-11-17,102.61962442908144,101.27180013995304,102.29546771591367,115.16898653562674,102.64516864876431,110.61544330511029,124.49463396256499,94.24936596163593,108.50540006065405,105.19124621570377,101.45306378187536,102.48679427611584,97.96200985164924,96.27020658015196
2025-11-18,101.77235199673183,100.35729082934253,101.83444014996941,112.38731945584604,102.82758152218324,108.72757987690854,121.36752756816347,94.28288300680376,109.08062470295165,105.04855551560203,101.73278816415268,102.92925176607316,99.01387048003856,97.34814848317535
2025-11-19,102.1543886947236,99.9588412353738,100.97682978184994,111.58703881166845,102.8937620005374,107.60843261146593,120.17628102640658,93.70335394396562,107.88016725713463,105.3408553019409,101.50951273966197,103.10868587567637,98.02668927513604,98.56884838656711
2025-11-20,100.56412235868028,101.94083515513739,102.79198792548013,116.35541223075643,103.98909612802403,112.790235155095,124.41724423811249,94.85228123347098,109.5861255481427,106.2316568885314,102.43640050606172,105.30002091539075,100.1712712852342,100.82379644590706
2025-11-21,101.55196729412013,100.62162470478562,101.92092806576017,112.45291609998628,100.46588542531052,107.65554045051368,118.54339588680531,94.67456786464672,108.0937044371733,105.46123027496192,101.77727294800623,103.78205028428171,99.3238944335923,99.32589333885194
2025-11-24,103.12269360916653,99.22649247333285,100.31800518148243,110.74007532420718,98.81211724295062,106.29369507962323,116.51965707950535,93.70185744933099,106.79628068460923,103.60546122287747,101.2723429290977,101.77531399007576,98.65894628893386,97.50101013453538
