Date,US - SPX,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Technology,Communication Services,Utilities,Real Estate,Energy
2025-09-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-09-12,99.95172386853326,98.99578879170716,99.20157068062827,100.51811288963775,99.6649708400546,98.84769539078158,99.57431056820283,99.93359403822032,100.83347654236124,100.50546608675211,99.55336154207805,99.40536295299002
2025-09-15,100.42215857386097,98.19673901306554,99.65968586387433,101.39005897219882,98.52338999875916,98.00314915545377,99.35221173422173,100.83376374234487,102.25124591854271,100.7405665922182,99.43582510578278,99.0687759452485
2025-09-16,100.29282182920211,97.89439585357952,99.3651832460733,102.01347935973043,98.97009554535302,98.00314915545377,99.1301129002406,100.4832878329521,101.83880391819899,98.90678264958271,98.84814292430653,100.72927185010658
2025-09-17,100.1955209267357,98.12115322319404,98.913612565445,101.75652906486941,99.5657029408115,98.19639278557113,100.09254118082546,100.13650114365824,102.10517271008766,99.15363818032209,98.80112834978844,100.96488275552564
2025-09-18,100.67536921826985,98.12115322319404,99.96727748691099,101.29738837405222,98.69710882243456,98.38963641568851,100.18508236165093,101.86674537002878,102.1825055851521,99.22416833196192,98.8716502115656,100.65073488163357
2025-09-19,101.16721056687652,98.07796134326746,100.20942408376963,101.68070766638584,98.49857302394837,98.2608073289436,100.40718119563206,102.89972699771268,102.60354012716961,99.85893969672036,98.37799717912553,99.31560641759228
2025-09-22,101.61336266715509,97.58125472411187,100.13089005235601,101.17101937657962,96.73656781238365,97.7884340108789,99.94447529150472,104.27949531469048,101.89035916824196,100.15281532855296,97.95486600846263,98.36194322899136
2025-09-23,101.05426976921667,97.2681135946442,100.15706806282721,100.2190395956192,97.22049882119369,98.01030632693958,99.50027762354246,103.37932561056593,101.74428595978691,100.67003644057834,98.73060648801129,100.05609783462359
2025-09-24,100.76660688174661,96.08033689666343,99.64005235602093,100.92670598146587,97.43144310708523,97.61666189521901,99.22265408106608,102.74109053346123,100.90221687575185,101.38709298224992,97.71979313587212,101.35756759789074
2025-09-25,100.2618607665372,94.82777237879279,98.96596858638743,99.50294860994103,96.50080655168134,95.9991411394217,98.96353877475477,102.56031874861655,100.55851520879877,100.41142588456566,97.48472026328162,102.26635251879279
2025-09-26,100.85358990074893,95.92916531692043,99.85602094240838,100.97304128053916,96.73656781238365,96.97967363298025,99.68535998519341,102.87021323692171,101.53806495961506,102.04537439755497,98.4485190409027,103.20879614046899
2025-09-29,101.1193939963112,96.2962962962963,100.16361256544504,101.41533277169334,96.92269512346444,97.2659604924134,100.18508236165093,103.4199070316535,101.8645815432205,102.33925002938757,98.63657733897509,101.31268933019186
2025-09-30,101.53305810576853,96.77140697548862,100.93586387434554,100.9435551811289,97.24531579600448,99.6063555682794,99.70386822135849,103.98435770678078,101.70991579309161,102.51557540848712,99.03620122237895,100.23561090541907
2025-10-01,101.87826246545974,95.75639779721413,100.6544502617801,101.57540016849198,97.09641394713984,102.6839393071858,98.81547288543402,105.00258245406921,100.2835538752363,103.50299753144469,99.03620122237895,100.23561090541907
2025-10-02,101.94125937031706,96.86858870532339,100.91623036649213,100.8424599831508,96.7117508375729,102.48353850558259,98.74143994077365,105.57072234929537,100.06014779171679,103.31491712707184,98.51904090267982,99.22584988219455
2025-10-03,101.94793782793283,97.03055825504805,101.05366492146597,100.1937657961247,96.82342722422138,103.65015745777268,99.4262446788821,105.03947465505794,100.00859254167382,104.51392970494886,98.91866478608368,99.75316952765624
2025-10-06,102.31970036036246,96.9441744951949,101.52486910994763,101.0530749789385,96.11614344211439,103.14915545376468,99.38922820655192,106.10197004353282,100.11170304175975,105.52486187845305,97.93135872120357,100.24683047234377
2025-10-07,101.92971846187338,96.55544757585575,100.94895287958114,99.28390901432181,97.00955453530216,103.22788434010879,99.51878585970758,105.39363978454955,99.72503866643754,106.00681791465854,97.62576398683592,100.4039044092898
2025-10-08,102.52373057604697,97.07375013497463,101.8259162303665,99.5787700084246,96.52562352649213,103.42828514171198,99.03757171941513,107.24193905408397,99.31259666609384,106.7356294816034,97.13211095439587,99.82048692920453
2025-10-09,102.24121921803638,95.74559982723248,100.32068062827224,99.08171861836563,96.83583571162676,103.19925565416548,98.68591523227836,107.06116726923929,98.74548891562125,106.46526390031738,96.6854724964739,98.46291933131383
2025-10-10,99.46928869386046,93.78036929057336,98.10209424083769,96.35636057287279,96.91028663605906,101.71056398511308,96.5389598371275,102.7041983324725,96.92387008076989,106.03032796520513,95.62764456981665,95.61314933243578
2025-10-13,101.02087748113779,95.27048914804017,99.12303664921465,98.50884582982309,96.58766596351904,101.59604924133983,97.46437164538219,105.20548955950713,97.81749441484791,106.84142470906312,96.16831217677479,96.9146190957029
2025-10-14,100.86284782923072,96.2207105064248,100.28795811518324,98.71524852569502,98.13872688919221,101.87517892928715,98.53784934295761,103.8552350033203,98.46193504038496,107.7935817562008,97.08509637987775,96.9033995287782
2025-10-15,101.26892177154205,95.78879170715905,99.86910994764396,98.85846672283066,98.3124457128676,102.03263670197538,98.53784934295761,104.88452741090535,99.15793091596495,109.20418478899731,98.49553361542078,96.84730169415461
2025-10-16,100.63149597672962,95.07612568837058,99.21465968586386,97.9022746419545,97.62997890557142,101.86086458631549,95.79863039052377,104.96200103298163,98.10104829008421,108.01692723639358,98.18993888105314,95.68046673398408
