Date,US - SPX,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Technology,Communication Services,Utilities,Real Estate,Energy
2024-02-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2024-02-18,99.58142685358983,102.44166466201588,100.9234715690466,99.51083935519733,100.2325263301874,101.11797791820014,101.40736949846469,97.46439568899152,99.72211696349628,101.59283225485316,99.84379067951056,102.71275957268034
2024-02-25,101.23721440688165,104.43829684868895,102.79606669516888,100.77265147304058,102.28422924360552,102.67342545656552,103.12180143295804,98.7730946882217,100.69470759125932,102.80404844864775,100.80708148919553,103.18089064938181
2024-03-03,102.19770815417209,105.79745008419532,103.90765284309533,102.846025569761,101.84653262207632,101.61794319838901,103.09621289662232,101.40492686682063,101.07363900467348,102.40584038493445,102.94194220255142,104.59728724042732
2024-03-10,101.9313231136985,107.46932884291556,104.57460453185121,100.22790439132851,102.80399398167145,101.68043885841263,103.94063459570113,99.76424172440338,100.53050397877985,105.7740169238427,104.58214006769072,105.83363341735685
2024-03-17,101.80001995240757,109.21337503006976,104.35228730226594,98.97165091717622,103.3100807003146,100.93743490035416,104.37563971340839,98.93668206312547,100.15157256536567,105.29284884685582,101.6401978651393,109.90277277637739
2024-03-24,104.12942953890803,109.89896560019245,107.06284737067122,101.56753752084491,103.46053891396525,100.9929865981529,105.98771750255887,100.9959584295612,103.3472274851585,105.95652895304461,100.54673262171309,110.91105509542672
2024-03-31,104.53069246608165,111.7272071205196,107.70414707139801,102.21789883268482,104.44535631240596,102.58315394764253,107.77891504605937,100.20688991531948,103.14513073133762,108.92649742823959,102.91590731580318,113.32373064458048
2024-04-07,103.53578227280069,111.58287226365167,107.45617785378367,99.41078376876042,101.66871836958009,99.45142698423722,106.37154554759469,99.33121632024634,104.23140078312491,108.11348929815827,99.92189533975528,117.72896410995077
2024-04-14,101.92575703310224,108.15491941303826,105.08764429243267,98.4491384102279,100.36930652441526,96.45857926532881,102.50767656090072,98.8356428021555,102.72830617658204,106.52065704330514,96.95391825045563,115.38830872644338
